,Date,YoYChange
12,1991-01,-46.19999999999982
13,1991-02,-49.40000000000009
14,1991-03,-57.90000000000009
15,1991-04,-58.80000000000018
16,1991-05,-59.30000000000018
17,1991-06,-63.80000000000018
18,1991-07,-60.40000000000009
19,1991-08,-61.90000000000009
20,1991-09,-59.19999999999982
21,1991-10,-44.79999999999973
22,1991-11,-33.90000000000009
23,1991-12,-35.09999999999991
24,1992-01,-26.5
25,1992-02,-27.899999999999636
26,1992-03,-19.199999999999818
27,1992-04,-6.199999999999818
28,1992-05,-5.099999999999909
29,1992-06,-12.599999999999909
30,1992-07,-4.800000000000182
31,1992-08,-8.199999999999818
32,1992-09,-5.099999999999909
33,1992-10,8.599999999999909
34,1992-11,1.599999999999909
35,1992-12,10.200000000000273
36,1993-01,23.899999999999636
37,1993-02,31.299999999999727
38,1993-03,23.0
39,1993-04,32.399999999999636
40,1993-05,32.80000000000018
41,1993-06,36.19999999999982
42,1993-07,38.5
43,1993-08,38.09999999999991
44,1993-09,40.90000000000009
45,1993-10,39.09999999999991
46,1993-11,47.70000000000027
47,1993-12,50.19999999999982
48,1994-01,30.90000000000009
49,1994-02,26.59999999999991
50,1994-03,41.0
51,1994-04,42.90000000000009
52,1994-05,38.69999999999982
53,1994-06,43.0
54,1994-07,39.100000000000364
55,1994-08,42.09999999999991
56,1994-09,43.29999999999973
57,1994-10,39.80000000000018
58,1994-11,37.09999999999991
59,1994-12,35.5
60,1995-01,33.70000000000027
61,1995-02,37.80000000000018
62,1995-03,35.09999999999991
63,1995-04,28.09999999999991
64,1995-05,25.09999999999991
65,1995-06,24.40000000000009
66,1995-07,21.699999999999818
67,1995-08,20.0
68,1995-09,18.90000000000009
69,1995-10,20.799999999999727
70,1995-11,20.199999999999818
71,1995-12,20.09999999999991
72,1996-01,13.299999999999727
73,1996-02,27.699999999999818
74,1996-03,31.0
75,1996-04,30.100000000000364
76,1996-05,36.90000000000009
77,1996-06,38.19999999999982
78,1996-07,57.5
79,1996-08,63.80000000000018
80,1996-09,58.40000000000009
81,1996-10,60.09999999999991
82,1996-11,66.20000000000027
83,1996-12,65.90000000000009
84,1997-01,76.70000000000027
85,1997-02,66.70000000000027
86,1997-03,66.90000000000009
87,1997-04,65.59999999999991
88,1997-05,62.40000000000009
89,1997-06,61.0
90,1997-07,64.09999999999991
91,1997-08,60.69999999999982
92,1997-09,63.09999999999991
93,1997-10,58.20000000000027
94,1997-11,56.0
95,1997-12,63.69999999999982
96,1998-01,59.79999999999973
97,1998-02,63.69999999999982
98,1998-03,63.09999999999991
99,1998-04,68.19999999999982
100,1998-05,75.5
101,1998-06,78.70000000000027
102,1998-07,74.5
103,1998-08,77.60000000000036
104,1998-09,73.40000000000009
105,1998-10,82.79999999999973
106,1998-11,86.29999999999973
107,1998-12,84.20000000000027
108,1999-01,86.0
109,1999-02,85.70000000000027
110,1999-03,81.90000000000009
111,1999-04,91.0
