,Date,YoYChange
12,2012-01,26.299999999999955
13,2012-02,26.700000000000045
14,2012-03,28.09999999999991
15,2012-04,21.299999999999955
16,2012-05,24.300000000000182
17,2012-06,24.700000000000045
18,2012-07,18.899999999999864
19,2012-08,26.899999999999864
20,2012-09,23.200000000000045
21,2012-10,28.09999999999991
22,2012-11,26.09999999999991
23,2012-12,25.200000000000045
24,2013-01,22.700000000000045
25,2013-02,20.799999999999955
26,2013-03,17.200000000000045
27,2013-04,16.40000000000009
28,2013-05,15.799999999999955
29,2013-06,11.099999999999909
30,2013-07,9.799999999999955
31,2013-08,5.400000000000091
32,2013-09,6.7000000000000455
33,2013-10,-4.7999999999999545
34,2013-11,-3.0
35,2013-12,-5.7000000000000455
36,2014-01,-5.5
37,2014-02,-9.799999999999955
38,2014-03,-9.299999999999955
39,2014-04,-2.7000000000000455
40,2014-05,2.2999999999999545
41,2014-06,3.6000000000001364
42,2014-07,3.900000000000091
43,2014-08,3.8999999999998636
44,2014-09,-0.2999999999999545
45,2014-10,10.099999999999909
46,2014-11,6.7999999999999545
47,2014-12,8.400000000000091
48,2015-01,13.599999999999909
49,2015-02,15.399999999999864
50,2015-03,11.599999999999909
51,2015-04,24.09999999999991
52,2015-05,24.59999999999991
53,2015-06,27.399999999999864
54,2015-07,37.09999999999991
55,2015-08,35.100000000000136
56,2015-09,35.899999999999864
57,2015-10,40.40000000000009
58,2015-11,42.5
59,2015-12,44.299999999999955
60,2016-01,35.40000000000009
61,2016-02,37.40000000000009
62,2016-03,42.0
63,2016-04,34.90000000000009
64,2016-05,30.700000000000045
65,2016-06,31.200000000000045
66,2016-07,22.40000000000009
67,2016-08,25.0
68,2016-09,26.0
69,2016-10,20.299999999999955
70,2016-11,20.799999999999955
71,2016-12,19.299999999999955
72,2017-01,25.0
73,2017-02,26.90000000000009
74,2017-03,25.200000000000045
75,2017-04,18.299999999999955
76,2017-05,21.600000000000136
77,2017-06,26.299999999999955
78,2017-07,22.299999999999955
79,2017-08,19.0
80,2017-09,18.0
81,2017-10,20.799999999999955
82,2017-11,19.800000000000182
83,2017-12,19.100000000000136
84,2018-01,25.40000000000009
85,2018-02,27.59999999999991
86,2018-03,25.0
87,2018-04,27.40000000000009
88,2018-05,28.09999999999991
89,2018-06,27.0
90,2018-07,30.40000000000009
91,2018-08,31.0
92,2018-09,30.5
93,2018-10,27.40000000000009
94,2018-11,28.399999999999864
95,2018-12,28.899999999999864
96,2019-01,24.699999999999818
97,2019-02,24.200000000000045
98,2019-03,28.09999999999991
99,2019-04,28.0
100,2019-05,27.09999999999991
101,2019-06,29.700000000000045
102,2019-07,27.0
103,2019-08,26.799999999999955
104,2019-09,25.700000000000045
105,2019-10,31.799999999999955
106,2019-11,38.600000000000136
107,2019-12,34.700000000000045
108,2020-01,28.700000000000045
109,2020-02,31.0
110,2020-03,17.40000000000009
111,2020-04,-126.80000000000018
112,2020-05,-133.39999999999986
